Timestamp,Source_Node_ID,RSSI_dBm,Noise_Floor_dBm,PDR_Percentage,Packet_Drop_Count,Bit_Error_Rate,Throughput_Kbps,Jitter_ms,Label,SNR_dB,Class_ID
1764625087.4713166,17,-61.19,-58.51,28.03,74,0.29847545236409023,4.38,418.07,Jamming,-2.67,1
1764624077.2713165,22,-60.06,-36.01,24.99,62,0.29789196790210043,11.21,482.45,Jamming,-24.05,1
1764623383.6713166,42,-42.59,-94.9,95.32,0,0.0006055616028808789,235.97,1.66,Normal,52.31,0
1764623941.3713167,11,-44.97,-93.52,97.19,0,0.0009717458203051674,248.52,1.06,Normal,48.56,0
1764623591.9713166,10,-48.85,-88.6,99.29,0,0.0002740342415471865,246.82,2.71,Normal,39.75,0
1764623458.7713165,10,-42.9,-89.22,95.66,0,0.00019809709129565842,252.75,5.48,Normal,46.32,0
1764623647.3713167,11,-29.74,-90.27,84.47,1,0.007414618510335061,228.5,147.54,Spoofing,60.53,2
1764624240.5713167,22,-50.39,-44.39,27.6,94,0.25801950490453807,6.81,312.82,Jamming,-5.99,1
1764624975.8713167,22,-64.32,-56.67,29.77,54,0.13606322415997046,4.24,394.74,Jamming,-7.65,1
1764624324.7713165,18,-42.54,-89.58,97.02,0,0.0005877564168938585,265.21,9.18,Normal,47.05,0
1764624624.9713166,36,-46.21,-51.26,14.09,56,0.13068422733823476,7.0,418.55,Jamming,5.05,1
1764624217.1713166,34,-39.56,-89.91,97.04,0,0.0005831542710925324,229.64,5.21,Normal,50.35,0
1764623487.0713167,9,-45.78,-88.89,97.42,0,0.0004115621921962734,235.29,1.73,Normal,43.11,0
1764623641.0713167,30,-55.03,-49.16,27.29,79,0.1138150394823953,1.56,274.33,Jamming,-5.87,1
1764624601.5713167,29,-40.84,-86.75,95.74,0,0.0005287092026996477,255.33,4.72,Normal,45.91,0
1764625066.2713165,3,-44.49,-86.34,96.98,0,0.00010662928437724662,249.21,5.26,Normal,41.86,0
1764623650.1713166,48,-43.03,-48.24,21.41,72,0.16684902923587216,13.32,449.19,Jamming,5.22,1
1764624317.5713167,8,-43.14,-89.3,96.19,0,0.0006052043370163502,259.11,2.01,Normal,46.17,0
1764623643.7713165,26,-39.1,-90.34,99.54,0,0.0009018332321647085,223.59,4.33,Normal,51.24,0
1764624775.5713167,18,-48.4,-89.74,97.85,0,0.0006666110192113786,284.33,8.82,Normal,41.34,0
1764623641.7713165,13,-41.02,-89.5,99.36,0,0.0009815373940083628,244.04,2.19,Normal,48.48,0
1764624508.2713165,46,-47.33,-92.99,96.79,0,0.0009721827530201869,235.25,5.75,Normal,45.66,0
1764624638.8713167,20,-39.49,-88.23,98.94,0,0.000914819146461204,225.05,8.94,Normal,48.73,0
1764623987.7713165,22,-42.34,-86.23,98.69,0,0.000504671410582703,262.01,4.12,Normal,43.88,0
1764623223.5713167,1,-44.03,-86.98,99.12,0,0.00015675974482441907,244.21,1.44,Normal,42.94,0
1764623296.0713167,21,-71.11,-51.42,11.9,83,0.2938164134590151,11.76,398.93,Jamming,-19.69,1
1764623927.0713167,24,-68.78,-48.23,17.19,72,0.1465185210903208,4.28,169.52,Jamming,-20.55,1
1764624280.2713165,40,-27.19,-88.05,86.81,0,0.00607708745290442,323.19,68.05,Spoofing,60.86,2
1764624241.7713165,24,-49.49,-87.0,95.74,0,0.0002745188908226103,238.14,2.12,Normal,37.51,0
1764623405.3713167,46,-60.15,-51.1,6.41,77,0.13522259728884775,11.64,434.09,Jamming,-9.05,1
1764623337.1713166,40,-48.34,-94.89,96.46,0,0.0002275518568665303,242.3,7.01,Normal,46.54,0
1764623476.3713167,10,-29.54,-89.37,93.18,5,0.004906274693682576,288.16,61.47,Spoofing,59.83,2
1764623335.3713167,20,-77.23,-53.12,13.8,85,0.2898734302684701,13.24,446.65,Jamming,-24.11,1
1764624645.3713167,31,-42.71,-90.86,99.92,0,0.0005737351618394176,241.31,2.82,Normal,48.15,0
1764623883.7713165,33,-41.52,-89.04,96.21,0,0.00046308562285722035,245.62,4.66,Normal,47.52,0
1764623527.7713165,50,-28.74,-90.14,80.41,9,0.008734567954263483,284.87,140.46,Spoofing,61.41,2
1764624836.7713165,15,-41.52,-91.37,99.81,0,0.00013635888593937885,255.87,1.07,Normal,49.85,0
1764624934.1713166,50,-45.43,-89.75,95.54,0,0.0006229718416464004,251.23,4.05,Normal,44.31,0
1764623227.5713167,8,-48.72,-89.16,95.58,0,0.00037651204777878225,253.4,2.86,Normal,40.45,0
1764624981.5713167,31,-45.74,-89.3,96.29,0,0.00047833149719951433,237.77,2.05,Normal,43.56,0
1764625146.0713167,6,-44.8,-88.4,95.68,0,0.0009723763122275161,247.98,2.7,Normal,43.6,0
1764623514.1713166,41,-47.5,-91.57,96.23,0,0.0006991437964220498,249.61,6.41,Normal,44.07,0
1764624716.6713166,42,-45.52,-89.99,99.09,0,0.0004161309512963853,255.58,6.41,Normal,44.47,0
1764624676.6713166,46,-47.47,-93.02,97.14,0,0.0008795612971823985,262.09,2.17,Normal,45.55,0
1764623636.0713167,2,-44.66,-90.45,97.0,0,0.000984239106688214,226.83,4.37,Normal,45.78,0
1764623752.1713166,33,-44.71,-45.92,12.87,76,0.2615773270150655,5.85,251.35,Jamming,1.21,1
1764624236.5713167,43,-35.74,-87.84,97.5,0,0.0003677389854521557,257.93,4.67,Normal,52.1,0
1764623746.3713167,13,-56.53,-50.92,9.87,80,0.15267609415480393,10.65,105.06,Jamming,-5.61,1
1764624060.0713167,33,-28.91,-92.8,91.16,4,0.0042566956851713975,301.13,119.34,Spoofing,63.9,2
1764623717.9713166,48,-76.0,-43.41,3.38,56,0.22453768828221954,9.51,449.83,Jamming,-32.58,1
1764624696.8713167,28,-64.01,-50.68,20.04,70,0.22720628271556015,13.27,460.46,Jamming,-13.33,1
1764624734.0713167,33,-48.18,-51.29,15.53,54,0.2837676500691264,11.67,443.99,Jamming,3.11,1
1764624754.5713167,38,-39.13,-93.26,98.92,0,0.0005418086145809855,241.86,2.71,Normal,54.12,0
1764624878.8713167,43,-55.17,-42.02,27.4,82,0.24604668570819835,18.38,477.97,Jamming,-13.15,1
1764623664.5713167,43,-41.38,-89.97,96.3,0,0.0006490855970360569,240.92,9.45,Normal,48.59,0
1764624477.1713166,31,-46.75,-88.35,97.38,0,0.00024642895006158006,263.42,8.72,Normal,41.61,0
1764624002.8713167,17,-47.16,-87.17,99.44,0,0.0005767973558079969,246.27,7.64,Normal,40.01,0
1764624696.2713165,50,-40.86,-93.5,97.17,0,0.00016628679036827593,277.14,1.34,Normal,52.64,0
1764623329.6713166,10,-41.16,-93.51,95.16,0,0.00020183730959847895,287.67,7.74,Normal,52.35,0
1764624074.5713167,46,-27.81,-91.92,82.33,6,0.0058112543090910965,317.62,122.88,Spoofing,64.12,2
1764623863.4713166,11,-59.15,-44.4,26.91,88,0.11308376062480108,8.94,351.0,Jamming,-14.75,1
1764623732.7713165,21,-49.32,-89.63,95.35,0,0.0007640898233272703,263.1,3.39,Normal,40.31,0
1764623900.2713165,33,-57.25,-89.31,97.04,0,0.0005218710014289066,241.71,3.16,Normal,32.07,0
1764624695.1713166,3,-61.11,-57.02,13.47,98,0.21890198946293532,17.48,384.81,Jamming,-4.09,1
1764623646.7713165,5,-48.12,-89.18,95.63,0,0.0005775349939520499,230.71,6.13,Normal,41.06,0
1764624234.4713166,35,-74.3,-48.63,24.8,95,0.2134581722542721,16.94,222.85,Jamming,-25.67,1
1764623590.5713167,45,-53.03,-90.03,96.55,0,0.0009321229558544222,242.32,6.72,Normal,37.0,0
1764624110.7713165,6,-44.02,-90.39,96.87,0,0.0007046670635216532,230.03,4.9,Normal,46.36,0
1764623829.0713167,41,-65.4,-42.72,12.75,50,0.1280859495366256,6.81,317.72,Jamming,-22.68,1
1764623435.8713167,23,-39.47,-90.73,96.63,0,0.0008402450708721251,264.68,9.24,Normal,51.26,0
1764624098.0713167,29,-62.67,-52.43,25.06,75,0.12098668250065388,7.09,396.91,Jamming,-10.24,1
1764624578.5713167,7,-45.27,-90.13,96.09,0,0.0008013013969232956,254.47,2.82,Normal,44.86,0
1764625039.5713167,20,-36.88,-89.88,96.61,0,0.0005601529960004612,256.11,9.56,Normal,52.99,0
1764625025.6713166,45,-45.59,-89.14,97.06,0,0.00040528516373036013,254.72,6.16,Normal,43.55,0
1764624785.5713167,24,-49.8,-89.48,95.62,0,0.0009582396168109593,256.33,9.75,Normal,39.68,0
1764623965.7713165,18,-72.23,-50.94,19.8,98,0.21690266910643613,2.89,240.03,Jamming,-21.29,1
1764624889.2713165,44,-50.33,-93.14,98.57,0,0.0007882780217840563,239.92,1.07,Normal,42.81,0
1764624805.4713166,48,-57.05,-60.0,15.71,84,0.19051615516855303,13.54,237.81,Jamming,2.95,1
1764624927.8713167,49,-51.2,-91.16,98.28,0,0.00014536168828146795,278.65,1.66,Normal,39.96,0
1764624428.0713167,14,-36.47,-87.8,97.55,0,0.00029824770201080286,215.77,1.55,Normal,51.33,0
1764623959.3713167,29,-53.08,-47.61,29.51,71,0.1232469616229584,2.82,476.57,Jamming,-5.47,1
1764624158.5713167,5,-44.77,-89.0,99.23,0,0.00021583735569223806,278.5,7.17,Normal,44.23,0
1764624279.1713166,50,-49.78,-42.27,24.26,68,0.2571598066685278,11.23,304.89,Jamming,-7.51,1
1764624299.1713166,43,-26.29,-91.94,93.34,0,0.004264993959484714,177.19,84.84,Spoofing,65.65,2
1764624631.8713167,31,-47.94,-88.61,99.18,0,0.000310044338477571,239.77,6.62,Normal,40.67,0
1764623822.8713167,36,-49.93,-91.63,96.18,0,0.0005051698555940482,232.76,9.97,Normal,41.7,0
1764624505.3713167,44,-44.04,-91.15,96.96,0,0.0004062327430269869,292.03,8.48,Normal,47.11,0
1764623396.6713166,36,-59.3,-49.82,5.48,92,0.10666431798877758,2.75,165.21,Jamming,-9.48,1
1764623951.1713166,1,-43.32,-88.04,95.93,0,0.0006907868151426753,309.0,6.32,Normal,44.72,0
1764623473.5713167,26,-45.61,-87.21,97.11,0,0.0006094693922979286,220.03,5.16,Normal,41.6,0
1764623465.3713167,38,-30.55,-90.28,89.27,7,0.0028502815774148482,309.23,56.22,Spoofing,59.74,2
1764624332.6713166,18,-46.84,-90.85,97.01,0,0.00038917779445275883,222.37,9.46,Normal,44.02,0
1764623289.4713166,35,-59.18,-88.97,95.88,0,0.0005314316737044574,231.86,1.14,Normal,29.79,0
1764623367.8713167,32,-27.18,-85.84,83.7,4,0.003179132092269792,186.68,60.86,Spoofing,58.67,2
1764624984.4713166,44,-45.99,-89.63,99.0,0,0.00033753849880733834,257.16,1.55,Normal,43.65,0
1764624496.9713166,6,-50.37,-90.95,98.88,0,0.0005437928464298756,249.09,5.87,Normal,40.58,0
1764624777.5713167,47,-28.43,-90.13,91.14,7,0.006570626607784535,165.77,97.02,Spoofing,61.7,2
1764625000.1713166,49,-49.13,-89.56,99.4,0,0.00068415107918751,281.43,5.27,Normal,40.43,0
1764625095.6713166,40,-46.2,-85.55,97.82,0,0.00010715755419807796,245.94,4.85,Normal,39.35,0
1764623214.5713167,33,-50.19,-93.1,98.06,0,0.0008477271790302901,285.93,4.09,Normal,42.91,0
1764625046.4713166,28,-29.08,-90.85,84.87,3,0.007832535252477239,162.45,120.74,Spoofing,61.76,2
1764623757.6713166,48,-49.86,-90.27,96.75,0,0.0007221482288173827,280.04,3.31,Normal,40.41,0
1764623436.9713166,39,-52.34,-91.0,98.57,0,0.0003489193993299595,249.7,8.79,Normal,38.66,0
1764623839.1713166,18,-36.01,-87.75,97.35,0,0.00036442709973613863,211.21,1.35,Normal,51.75,0
1764624963.2713165,48,-30.41,-86.96,87.9,2,0.008691856443828777,241.43,83.52,Spoofing,56.56,2
1764623622.1713166,41,-55.79,-90.87,96.7,0,0.0006260924884063473,219.55,8.71,Normal,35.08,0
1764624043.5713167,8,-50.29,-54.23,15.08,58,0.25167537663194567,16.67,359.36,Jamming,3.94,1
1764623488.5713167,37,-47.72,-91.77,98.37,0,0.0003720851790277039,255.54,2.66,Normal,44.04,0
1764625094.9713166,34,-31.88,-90.75,83.33,9,0.004510461526090866,264.14,56.61,Spoofing,58.87,2
1764624984.0713167,48,-47.22,-93.0,97.27,0,0.0006610795564755863,272.18,8.24,Normal,45.78,0
1764623737.3713167,43,-52.5,-90.35,98.7,0,0.0002510558388700302,299.81,9.59,Normal,37.84,0
1764623450.1713166,21,-39.82,-90.31,98.09,0,0.0005527568108606035,235.12,4.34,Normal,50.49,0
1764623232.6713166,30,-65.06,-49.74,26.95,72,0.25971012870855237,8.7,487.35,Jamming,-15.32,1
1764624262.2713165,6,-55.78,-89.57,99.37,0,0.00018374090682248275,255.01,5.65,Normal,33.78,0
1764624490.0713167,12,-48.82,-90.65,97.56,0,0.0006927145942024946,263.98,3.13,Normal,41.82,0
1764624869.6713166,32,-41.38,-91.96,95.93,0,0.0007049861157820419,221.2,9.7,Normal,50.58,0
1764623940.3713167,46,-30.45,-90.57,89.92,0,0.004270632945101868,287.92,53.09,Spoofing,60.11,2
1764623217.7713165,35,-42.54,-87.47,95.15,0,0.00036523281747603034,266.74,2.0,Normal,44.94,0
1764624328.8713167,46,-62.51,-50.62,6.13,92,0.15432289646789646,5.89,488.82,Jamming,-11.89,1
1764623456.3713167,6,-39.25,-89.86,99.71,0,0.00046123632746856687,253.91,9.09,Normal,50.61,0
1764624311.1713166,48,-39.25,-90.07,98.7,0,0.0006067249042289082,234.66,6.76,Normal,50.82,0
1764623964.5713167,37,-69.13,-46.92,11.17,67,0.2006501343937258,7.79,314.29,Jamming,-22.22,1
1764625097.5713167,18,-26.47,-90.06,94.04,6,0.0015302541072113487,237.54,147.84,Spoofing,63.59,2
1764624042.1713166,10,-40.73,-90.89,95.64,0,0.0006041096648012441,240.67,2.79,Normal,50.15,0
1764624973.2713165,44,-52.34,-92.8,95.89,0,0.00043560171679025327,235.05,9.52,Normal,40.46,0
1764624459.5713167,22,-40.89,-92.92,98.6,0,0.0004157620481836057,241.7,2.06,Normal,52.03,0
1764624635.4713166,26,-62.42,-55.83,22.7,84,0.20439893533713216,10.51,355.31,Jamming,-6.59,1
1764624109.2713165,46,-39.31,-91.98,95.46,0,0.00052412395347248,227.56,5.9,Normal,52.67,0
1764623235.7713165,38,-43.71,-90.15,95.31,0,0.0005015344025079296,255.61,1.18,Normal,46.44,0
1764624242.4713166,7,-44.77,-91.15,98.43,0,0.0007016873688004062,268.57,7.46,Normal,46.39,0
1764624418.0713167,40,-40.52,-89.82,98.42,0,0.0006600448225236624,258.16,8.43,Normal,49.3,0
1764624403.4713166,29,-52.66,-86.58,98.55,0,0.00012486840926921009,226.31,2.14,Normal,33.92,0
1764624833.1713166,44,-47.74,-88.46,98.02,0,0.000510131847864288,263.69,4.31,Normal,40.72,0
1764624120.5713167,40,-28.61,-91.71,81.95,2,0.0023897225676312145,233.15,121.5,Spoofing,63.1,2
1764623786.9713166,36,-44.65,-90.12,95.66,0,0.0008681456617634786,248.25,1.25,Normal,45.47,0
1764624554.1713166,34,-34.54,-89.13,95.32,0,0.0005916124606060325,249.87,7.33,Normal,54.59,0
1764623999.9713166,43,-40.49,-88.55,95.88,0,0.0009109312910998396,230.88,8.86,Normal,48.06,0
1764624147.0713167,36,-44.27,-92.55,99.36,0,0.000933466900800416,216.2,1.19,Normal,48.28,0
1764624586.9713166,30,-28.5,-89.53,92.34,9,0.006782961170110589,281.8,136.93,Spoofing,61.04,2
1764624269.8713167,32,-51.99,-90.66,98.22,0,0.00016661470543517532,281.86,2.11,Normal,38.67,0
1764624531.7713165,41,-55.6,-52.48,2.57,56,0.25028366789702927,6.8,198.56,Jamming,-3.11,1
1764624532.2713165,12,-31.7,-57.52,6.38,99,0.11378072834731674,3.15,474.29,Jamming,25.81,1
1764623273.5713167,39,-27.48,-92.56,80.66,7,0.005636764963356947,248.11,99.76,Spoofing,65.08,2
1764624086.3713167,37,-48.07,-90.84,99.7,0,0.000759410683178091,255.84,3.74,Normal,42.77,0
1764624489.0713167,26,-44.58,-89.38,97.79,0,0.0003653348674720628,255.49,8.57,Normal,44.79,0
1764623982.6713166,8,-59.39,-52.06,13.39,51,0.1026783966142017,11.72,489.87,Jamming,-7.33,1
1764623954.0713167,38,-51.74,-91.42,95.85,0,0.0005406004845744012,243.03,8.73,Normal,39.69,0
1764623822.6713166,36,-42.46,-94.0,97.84,0,0.0009223062252097527,244.13,9.53,Normal,51.54,0
1764624958.7713165,4,-42.06,-89.53,99.38,0,0.0005124509289087403,225.83,8.81,Normal,47.47,0
1764624476.7713165,29,-47.03,-86.63,98.9,0,0.00021416190310165307,243.54,5.14,Normal,39.61,0
1764623686.3713167,43,-52.85,-94.19,98.78,0,0.0002415221557417622,242.4,8.48,Normal,41.34,0
1764623609.4713166,3,-46.37,-86.7,95.67,0,0.0003528651212096743,243.46,8.43,Normal,40.32,0
1764623404.1713166,2,-39.71,-92.51,95.77,0,0.0009361469617118794,229.32,5.77,Normal,52.8,0
1764623944.8713167,33,-39.41,-91.01,99.71,0,0.0009243981314808452,272.0,9.11,Normal,51.61,0
1764623350.7713165,17,-45.53,-89.27,99.89,0,0.0005990688784352813,232.69,2.7,Normal,43.74,0
1764624683.1713166,13,-46.86,-62.98,26.76,50,0.12252803456044843,0.0,399.42,Jamming,16.12,1
1764624584.7713165,3,-53.66,-45.8,2.94,92,0.1462682828419522,7.48,288.18,Jamming,-7.86,1
1764623375.9713166,5,-31.11,-91.21,90.33,7,0.004498706203497539,288.45,141.8,Spoofing,60.1,2
1764624121.8713167,31,-50.5,-91.58,99.68,0,0.0003988661490689157,257.91,1.4,Normal,41.09,0
1764624871.8713167,14,-30.83,-86.31,86.84,6,0.0029055996621473613,210.26,67.31,Spoofing,55.48,2
1764623766.5713167,9,-41.74,-89.62,99.0,0,0.0007233895619529756,228.55,2.14,Normal,47.87,0
1764623364.7713165,33,-55.3,-52.9,19.41,55,0.217871054383509,10.52,128.05,Jamming,-2.39,1
1764623589.3713167,43,-46.44,-96.76,98.21,0,0.0001601376963310692,270.24,6.94,Normal,50.32,0
1764624522.1713166,17,-38.7,-89.81,96.7,0,0.0005272874700146143,276.79,5.06,Normal,51.11,0
1764623993.3713167,42,-71.72,-51.75,24.22,63,0.24279530417822012,11.06,184.46,Jamming,-19.97,1
1764624499.4713166,8,-33.35,-88.84,99.43,0,0.0005856480350360193,253.3,9.81,Normal,55.5,0
1764623328.5713167,43,-48.14,-92.5,97.55,0,0.0007414697175997879,290.15,7.37,Normal,44.35,0
1764623786.8713167,21,-55.23,-46.58,26.35,76,0.28750208737228,0.32,173.97,Jamming,-8.65,1
1764624503.2713165,38,-81.86,-42.92,27.63,92,0.11963509153845309,10.18,246.18,Jamming,-38.94,1
